GAME_ID,Season ID,Home Team Name,Away Team Name,Home Points,Away Points,Home Win,Match,Date
0021800217,22018,Indiana Pacers,Miami Heat,99,91,L,MIA @ IND,2018-11-16
0021800218,22018,Philadelphia 76ers,Utah Jazz,113,107,W,PHI vs. UTA,2018-11-16
0021800219,22018,Washington Wizards,Brooklyn Nets,104,115,W,BKN @ WAS,2018-11-16
0021800220,22018,Memphis Grizzlies,Sacramento Kings,112,104,W,MEM vs. SAC,2018-11-16
0021800221,22018,Minnesota Timberwolves,Portland Trail Blazers,112,96,L,POR @ MIN,2018-11-16
0021800222,22018,New Orleans Pelicans,New York Knicks,129,124,W,NOP vs. NYK,2018-11-16
0021800223,22018,Milwaukee Bucks,Chicago Bulls,123,104,W,MIL vs. CHI,2018-11-16
0021800224,22018,Brooklyn Nets,Los Angeles Clippers,119,127,W,LAC @ BKN,2018-11-17
0021800225,22018,Charlotte Hornets,Philadelphia 76ers,119,122,W,PHI @ CHA,2018-11-17
0021800226,22018,Indiana Pacers,Atlanta Hawks,97,89,L,ATL @ IND,2018-11-17
0021800227,22018,Orlando Magic,Los Angeles Lakers,130,117,L,LAL @ ORL,2018-11-17
0021800228,22018,New Orleans Pelicans,Denver Nuggets,125,115,L,DEN @ NOP,2018-11-17
0021800229,22018,Boston Celtics,Utah Jazz,86,98,L,BOS vs. UTA,2018-11-17
0021800230,22018,Chicago Bulls,Toronto Raptors,83,122,L,CHI vs. TOR,2018-11-17
0021800231,22018,Houston Rockets,Sacramento Kings,132,112,L,SAC @ HOU,2018-11-17
0021800232,22018,Dallas Mavericks,Golden State Warriors,112,109,W,DAL vs. GSW,2018-11-17
0021800233,22018,Phoenix Suns,Oklahoma City Thunder,100,110,W,OKC @ PHX,2018-11-17
0021800234,22018,Minnesota Timberwolves,Memphis Grizzlies,87,100,W,MEM @ MIN,2018-11-18
0021800235,22018,Miami Heat,Los Angeles Lakers,97,113,L,MIA vs. LAL,2018-11-18
0021800236,22018,Orlando Magic,New York Knicks,131,117,W,ORL vs. NYK,2018-11-18
0021800237,22018,Washington Wizards,Portland Trail Blazers,109,119,L,WAS vs. POR,2018-11-18
0021800238,22018,San Antonio Spurs,Golden State Warriors,104,92,W,SAS vs. GSW,2018-11-18
0021800239,22018,Charlotte Hornets,Boston Celtics,117,112,W,CHA vs. BOS,2018-11-19
0021800240,22018,Detroit Pistons,Cleveland Cavaliers,113,102,L,CLE @ DET,2018-11-19
0021800241,22018,Indiana Pacers,Utah Jazz,121,94,W,IND vs. UTA,2018-11-19
0021800242,22018,Philadelphia 76ers,Phoenix Suns,119,114,L,PHX @ PHI,2018-11-19
0021800243,22018,Atlanta Hawks,Los Angeles Clippers,119,127,W,LAC @ ATL,2018-11-19
0021800244,22018,Memphis Grizzlies,Dallas Mavericks,98,88,W,MEM vs. DAL,2018-11-19
0021800245,22018,Milwaukee Bucks,Denver Nuggets,104,98,L,DEN @ MIL,2018-11-19
0021800246,22018,New Orleans Pelicans,San Antonio Spurs,140,126,L,SAS @ NOP,2018-11-19
0021800247,22018,Sacramento Kings,Oklahoma City Thunder,117,113,W,SAC vs. OKC,2018-11-19
0021800248,22018,Orlando Magic,Toronto Raptors,91,93,L,ORL vs. TOR,2018-11-20
0021800249,22018,Washington Wizards,Los Angeles Clippers,125,118,W,WAS vs. LAC,2018-11-20
0021800250,22018,Miami Heat,Brooklyn Nets,92,104,L,MIA vs. BKN,2018-11-20
0021800251,22018,New York Knicks,Portland Trail Blazers,114,118,W,POR @ NYK,2018-11-20
0021800252,22018,Charlotte Hornets,Indiana Pacers,127,109,L,IND @ CHA,2018-11-21
0021800253,22018,Philadelphia 76ers,New Orleans Pelicans,121,120,L,NOP @ PHI,2018-11-21
0021800254,22018,Atlanta Hawks,Toronto Raptors,108,124,W,TOR @ ATL,2018-11-21
0021800255,22018,Boston Celtics,New York Knicks,109,117,L,BOS vs. NYK,2018-11-21
0021800256,22018,Cleveland Cavaliers,Los Angeles Lakers,105,109,L,CLE vs. LAL,2018-11-21
0021800257,22018,Chicago Bulls,Phoenix Suns,124,116,W,CHI vs. PHX,2018-11-21
0021800258,22018,Houston Rockets,Detroit Pistons,126,124,W,HOU vs. DET,2018-11-21
0021800259,22018,Milwaukee Bucks,Portland Trail Blazers,143,100,W,MIL vs. POR,2018-11-21
0021800260,22018,Minnesota Timberwolves,Denver Nuggets,101,103,W,DEN @ MIN,2018-11-21
0021800261,22018,Dallas Mavericks,Brooklyn Nets,119,113,L,BKN @ DAL,2018-11-21
0021800262,22018,San Antonio Spurs,Memphis Grizzlies,103,104,W,MEM @ SAS,2018-11-21
0021800263,22018,Utah Jazz,Sacramento Kings,110,119,W,SAC @ UTA,2018-11-21
0021800264,22018,Golden State Warriors,Oklahoma City Thunder,95,123,L,GSW vs. OKC,2018-11-21
0021800265,22018,Brooklyn Nets,Minnesota Timberwolves,102,112,W,MIN @ BKN,2018-11-23
0021800266,22018,Los Angeles Clippers,Memphis Grizzlies,112,107,L,MEM @ LAC,2018-11-23
0021800267,22018,Detroit Pistons,Houston Rockets,116,111,W,DET vs. HOU,2018-11-23
0021800268,22018,Atlanta Hawks,Boston Celtics,96,114,W,BOS @ ATL,2018-11-23
0021800269,22018,New York Knicks,New Orleans Pelicans,114,109,L,NOP @ NYK,2018-11-23
0021800270,22018,Philadelphia 76ers,Cleveland Cavaliers,112,121,L,PHI vs. CLE,2018-11-23
0021800271,22018,Toronto Raptors,Washington Wizards,125,107,L,WAS @ TOR,2018-11-23
0021800272,22018,Indiana Pacers,San Antonio Spurs,100,111,W,SAS @ IND,2018-11-23
0021800273,22018,Chicago Bulls,Miami Heat,96,103,L,CHI vs. MIA,2018-11-23
0021800274,22018,Oklahoma City Thunder,Charlotte Hornets,109,104,L,CHA @ OKC,2018-11-23
0021800275,22018,Milwaukee Bucks,Phoenix Suns,114,116,W,PHX @ MIL,2018-11-23
0021800276,22018,Denver Nuggets,Orlando Magic,112,87,W,DEN vs. ORL,2018-11-23
